recipe_href	title	recipe_id	new_recipe_id	new_fsa_score	selection_burger	selection_salad	selection_pasta	selection_curry	avg_z_ratings	afbeeldingaanpassen	img	img_visual	rating
http://allrecipes.com/recipe/turkey-curry-with-cashews/detail.aspx	Turkey Curry with Cashews	64328	1	8				1	.70200002	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/64328.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n64328.png	400
http://allrecipes.com/recipe/curry-sausage-couscous/detail.aspx	Curry Sausage Couscous	66015	2	8				1	.52499998	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/66015.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n66015.png	475
http://allrecipes.com/recipe/hamburgers-chili-dog-style/detail.aspx	Burgers Chili Dog Style	69361	3	9	1				.090000004	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/69361.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n69361.png	440
http://allrecipes.com/recipe/curry-mango-chicken/detail.aspx	Curry Mango Chicken	76685	4	8				1	-.366	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/76685.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n76685.png	405
http://allrecipes.com/recipe/pasta-with-spinach-and-smoked-sausage/detail.aspx	Pasta with Spinach and Smoked Sausage	77626	5	4			1		.125	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/77626.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n77626.png	450
http://allrecipes.com/recipe/curried-chicken-and-potatoes/detail.aspx	Chicken and Potatoes Curry	91317	6	5				1	.57200003	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/91317.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n91317.png	417
http://allrecipes.com/recipe/pasta-salad-i/detail.aspx	Fusili pasta with Brocoli	93061	7	5			1		1.556	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/93061.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/93061.jpg	451
http://allrecipes.com/recipe/pasta-with-chicken-and-roasted-pepper-cream-sauce/detail.aspx	Pasta With Chicken and Roasted Pepper Cream Sauce	93696	8	9			1		.27200001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/93696.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n93696.png	450
http://allrecipes.com/recipe/cheddar-bacon-hamburgers/detail.aspx	Cheddar Bacon Burgers	96388	9	9	1				-.0020000001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/96388.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n96388.png	457
http://allrecipes.com/recipe/pasta-with-lentil-soup-sauce/detail.aspx	Pasta with Lentil Soup Sauce	98582	10	4			1		-.53200001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/98582.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n98582.png	408
http://allrecipes.com/recipe/pasta-sauce-with-italian-sausage/detail.aspx	Pasta Sauce with Italian Sausage	99094	11	9			1		1.431	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/99094.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n99094.png	460
http://allrecipes.com/recipe/pasta-pomodoro/detail.aspx	Pasta Pomodoro	112281	12	5			1		1.114	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/112281.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/112281.jpg	445
http://allrecipes.com/recipe/tomato-basil-salad-3/detail.aspx	Tomato-Basil Salad	115820	13	5		1			.991	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/115820.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/115820.jpg	500
http://allrecipes.com/recipe/campbells-pizza-burgers/detail.aspx	Pizza Burgers	118276	14	9	1				1.184	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/118276.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/118276.jpg	300
http://allrecipes.com/recipe/butter-bean-burgers/detail.aspx	Butter Bean Burgers	121991	15	7	1				-.33000001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/121991.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n121991.png	435
http://allrecipes.com/recipe/curried-chicken-with-rice/detail.aspx	Curry Chicken with Rice	126514	16	10				1	-.704	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/126514.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n126514.png	438
http://allrecipes.com/recipe/cucumber-carrot-salad/detail.aspx	Cucumber-Carrot Salad	130018	17	4		1			.54900002	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/130018.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n130018.png	417
http://allrecipes.com/recipe/curried-chicken-and-brown-rice-casserole/detail.aspx	Curry Chicken and Brown Rice Casserole	132656	18	5				1	.18099999	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/132656.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n132656.png	418
http://allrecipes.com/recipe/cajun-burgers/detail.aspx	Cajun Burgers	142379	19	9	1				.995	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/142379.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n142379.png	350
http://allrecipes.com/recipe/caesar-salad-with-cilantro-and-green-chile-dressing/detail.aspx	Caesar Salad with Cilantro and Green Chile Dressing	148865	20	9		1			.13	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/148865.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n148865.png	447
http://allrecipes.com/recipe/curried-cashew-pear-and-grape-salad/detail.aspx	Curried Cashew. Pear. and Grape Salad	149997	21	10		1			.71200001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/149997.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n149997.png	480
http://allrecipes.com/recipe/turkey-curry-3/detail.aspx	Turkey Curry	163434	22	5				1	-.667	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/163434.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n163434.png	415
http://allrecipes.com/recipe/pasta-salad/detail.aspx	Pasta with fresh vegetables	167984	23	9			1		.98400003	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/167984.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n167984.png	453
http://allrecipes.com/recipe/tomato-basil-and-corn-salad-with-apple-cider-dressing/detail.aspx	Tomato. Basil. and Corn Salad with Apple Cider Dressing	169324	24	5		1			1.513	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/169324.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/169324.jpg	500
http://allrecipes.com/recipe/tricolore-salad-of-endive-beet-and-arugula-pantzaria-salata/detail.aspx	Tricolore Salad of Endive Beet Arugula Pantzaria 	178198	25	9		1			.95999998	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/178198.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n178198.png	480
http://allrecipes.com/recipe/carrot-burgers/detail.aspx	Carrot Burgers	208406	26	7	1				.43200001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/208406.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n208406.png	415
http://allrecipes.com/recipe/chef-johns-shaved-asparagus-salad/detail.aspx	Shaved Asparagus Salad	212042	27	5		1			.134	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/212042.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n212042.png	492
http://allrecipes.com/recipe/tomato-bacon-salad-2/detail.aspx	Tomato Bacon Salad	212258	28	10		1			1.5420001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/212258.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n212258.png	0
http://allrecipes.com/recipe/pasta-with-salami-and-peas/detail.aspx	Pasta with Salami and Peas	212641	29	9			1		-.45500001	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/212641.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n212641.png	415
http://allrecipes.com/recipe/bushs-pumpkin-bean-burgers/detail.aspx	Pumpkin Bean Burgers	218713	30	5	1				1.538	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/218713.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/218713.jpg	400
http://allrecipes.com/recipe/bushs-backyard-black-bean-burgers/detail.aspx	Backyard Black Bean Burgers	227237	31	5	1				1.437	0	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/227237.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/227237.jpg	390
http://allrecipes.com/recipe/curry-coconut-shrimp/detail.aspx	Curry-Coconut Shrimp	227815	32	5				1	-.023	1	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/227815.jpg	http://images.media-allrecipes.com/userphotos/250x250/00/60/57/n227815.png	415
